469.1564	4.636e4
469.2203	6.474e4
469.2842	1.057e5
469.3481	2.132e5
469.4120	6.604e5
469.4760	2.109e6
469.5398	5.748e6
469.6038	1.216e7
469.6676	1.949e7
469.7316	2.592e7
469.7955	3.132e7
469.8594	3.523e7
469.9233	3.733e7
469.9872	3.803e7
470.0511	3.910e7
470.1151	4.273e7
470.1790	4.360e7
470.2429	4.056e7
470.3068	3.753e7
470.3707	3.774e7
470.4346	4.503e7
470.4985	4.036e7
470.5624	3.298e7
470.6263	3.156e7
470.6903	3.671e7
470.7542	3.235e7
470.8181	2.853e7
470.8820	2.607e7
470.9459	2.168e7
471.0098	1.913e7
471.0737	1.834e7
471.1376	1.874e7
471.2016	1.778e7
471.2654	1.608e7
471.3293	1.481e7
471.3933	1.577e7
471.4572	1.785e7
471.5211	1.493e7
471.5850	1.220e7
471.6489	1.258e7
471.7128	1.356e7
471.7768	1.102e7
471.8406	9.704e6
471.9046	8.287e6
471.9684	6.671e6
472.0324	5.893e6
472.0963	5.681e6
472.1602	5.607e6
472.2241	5.100e6
472.2880	4.596e6
472.3519	4.371e6
472.4158	4.987e6
472.4798	4.992e6
472.5436	4.029e6
472.6076	3.402e6
472.6715	3.738e6
472.7354	3.518e6
472.7993	2.807e6
472.8632	2.476e6
472.9271	1.969e6
472.9911	1.546e6
473.0549	1.391e6
473.1188	1.334e6
473.1828	1.245e6
473.2466	1.122e6
473.3106	1.023e6
473.3745	1.007e6
473.4384	1.149e6
473.5023	1.061e6
473.5662	8.633e5
473.6301	7.845e5
473.6941	8.549e5
473.7579	7.246e5
473.8219	6.083e5
473.8858	5.311e5
473.9497	4.219e5
